rank	ID	score
1	takumi152	3044.462630863715
2	omu	3043.4165521342843
3	fuppy	3027.2614170286915
4	kusano	2999.30878757121
5	hitonanode	2932.285555569676
6	tanzaku	2867.536070797189
7	tantal	2841.329573313252
8	shr	2831.2965162317532
9	E869120	2792.951304291216
10	rickytheta	2776.574779393749
11	kotamanegi	2756.5949639561954
12	takoshi	2683.282080792971
13	kimiyuki	2616.208695368099
14	iehn	2587.2617285750325
15	goodbaton	2564.7730883732147
16	Taiyo	2556.681003585818
17	yamunaku	2550.4589014805333
18	gobi	2548.633163351834
19	riantkb	2547.909748531975
20	fgwiebfaoish	2530.080153164865
21	nagitaosu	2528.854974080436
22	Aquarius	2520.5779921237513
23	tomerun	2516.632502334267
24	mtsd	2509.3059687358964
25	snuke	2502.37823002597
26	Jiro_tech15	2499.2840329959186
27	ganariya	2489.3336604139117
28	ekiden	2489.2388813240595
29	kenntin	2478.915607608952
30	masutech16	2477.678128318778
31	tobiuo1990	2461.409158774188
32	to-hutohu	2442.6161864795004
33	iwashi31	2426.7179095038723
34	sumoru	2360.7431464195206
35	ryuk	2323.6636081329884
36	ichyo	2195.2323030485422
37	Dente	2181.413330574654
38	unsre	2078.3703030480074
39	bowwowforeach	2078.3703030480074
40	physics0523	2053.6275837680587
41	hiro116s	1967.4087047573037
42	Inaniwa	1964.618029378473
43	qLethon	1961.014381692357
44	remin	1958.3326730162457
45	koikuchi	1844.5838773879977
46	phocom	1785.1126098530847
47	4bungi	1764.7330589057917
48	cielavenir	1743.6
49	daisyo	1707.8457264957265
50	hdnkt	1632.9813087441958
51	HIRO170	1618.386547417063
52	Joe75792433	1598.2703304461547
53	Arakoma	1561.066135336833
54	ms5	1537.3427452213757
55	wat_shun	1533.0872119014455
56	titia	1522.6353703674756
57	tashikani	1467.3432194930265
58	Imperi	1422.5242399448362
59	fujiyama	1405.9733586491686
60	uchiiii	1380.1162596830345
61	nyanko	1380.1154755682828
62	fmhr	1369.0145239447434
63	jacky	1308.8115579131934
64	sensaur	1308.6982853410616
65	myrmidon	1276.2759286529233
66	mkan_0141	1243.7770453287872
67	siman	873.4166666666666
68	shindannin	686.7736837337313
69	foxgod	431.3052499372009
70	y_kawano	420.8047938847939
71	rigy	317.42893804983015
72	hidekiy	155.2442523865823
73	nhho	134.4343764817449
74	ymduu	131.2253968253968
75	kcvlex	33.75
