rank	ID	score
1	shr	164507663.8256385
2	takoshi	158783750.51974964
3	omu	158564070.9807444
4	fuppy	157965830.9053042
5	rickytheta	157400239.7036323
6	tantal	156611063.6635381
7	iwashi31	156076601.2173657
8	tomerun	154379756.43829897
9	tanzaku	154074771.65710124
10	kusano	153499100.8186717
11	takumi152	151877644.100727
12	goodbaton	150786206.11089596
13	phocom	150678324.815024
14	mamekin	150668332.36966202
15	mojashi	150322335.85083273
16	31536000	148688267.62831414
17	iehn	148501405.95216513
18	Aquarius	147928090.61684752
19	sumoru	146925489.35909575
20	cielavenir	146653475.94958392
21	kotamanegi	146517655.43530297
22	ekiden	146185751.65466994
23	nagitaosu	145735618.6343257
24	hitonanode	145098892.0898554
25	E869120	143745929.22022796
26	Jiro_tech15	143431240.07109413
27	titia	143198509.4013179
28	yamunaku	142985614.07388058
29	hiro116s	142868506.28901663
30	gobi	142431156.80371633
31	mtsd	141132008.7591033
32	sensaur	140683978.57491526
33	nhho	138964479.44719058
34	snuke	137676520.34204602
35	kimiyuki	136799694.8836298
36	tashikani	135635506.65147018
37	tanakh	135281926.60585776
38	kenntin	135218799.42803252
39	fgwiebfaoish	134282331.34097493
40	Inaniwa	133945036.91124432
41	4bungi	131745468.60098451
42	Taiyo	130778945.63116384
43	wat_shun	130668196.49175048
44	unsre	130521087.41760206
45	to-hutohu	130162867.14348377
46	ichyo	129441855.7275257
47	fmhr	127067043.27727379
48	qLethon	125813305.01810119
49	koikuchi	124379230.6948907
50	riantkb	120808977.14446959
51	mkan_0141	120808344.56973998
52	ganariya	120172723.29377124
53	kuhaku	119271732.12895826
54	uchiiii	117468795.1795432
55	remin	116148504.86544913
56	molety	115785385.32728413
57	y_kawano	115168414.36209756
58	ryuk	112145813.67961077
59	physics0523	110366300.40389371
60	siman	101910740.30266207
61	nyanko	100897840.10321704
62	Arakoma	99432419.16106856
63	Tlapesium	98448783.38512771
64	asdfgh	94868413.98710108
65	Kuri174	94457729.29771204
66	tobiuo1990	93153855.83240235
67	Joe75792433	91784911.11361693
68	bowwowforeach	90825320.95102465
69	daisyo	84432935.4194224
70	uwi	76914664.94218023
71	ms5	67985848.10795276
72	ymduu	57012828.002306536
73	jacky	56335880.34408863
74	yowa	52685801.546331726
75	hidekiy	51747006.534396656
76	shindannin	49007265.1504341
77	fujiyama	42089272.70365814
78	hdnkt	26464730.042625498
79	kcvlex	25474314.520848848
80	omochana2	15452899.21238738
81	tokotoko7777	11986572.109614061
82	rigy	8947173.132676832
83	masutech16	6068474.708433578
84	Dente	6061221.748643233
85	HIRO170	2688179.8982993867
86	foxgod	2112935.299090503
87	Imperi	1337051.6821624378
88	neterukun	1085847.2137699828
89	roahhhh	618462.7470756194
90	koyumeishi	488412.2740021304
91	myrmidon	226999.63251126674
92	cyarotomo	132545.86385509322
93	kryinit	106200.40652271021
94	peroon	36345.434166860185
95	auaua	23798.04474291091
96	spady	15409.254501817511
97	ao1415	15352.753119429588
98	karasuex54	12205.850939501675
99	kyama0922	2525.476912629854
100	gutio	1579.87205202196
101	inada2912	1300.0
102	GennadyCroquettevich	799.1253190756388
103	reck	751.7878043525101
104	amylase	518.7122602887309
105	runom	398.521177021177
106	murayama_px_986	261.26300904977376
107	klabtenka1	172.0689655172414
